name,sub,url,style,img,symbols,id
Orell,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Orell,,,,28
Ros,Died Ep. 26,http://gameofthrones.wikia.com/wiki/Ros,,,,9
Rickard Karstark,Died Ep. 25,http://gameofthrones.wikia.com/wiki/Rickard_Karstark,,,,21
Jeor Mormont,Died Ep. 24,http://gameofthrones.wikia.com/wiki/Jeor_Mormont,,,crow,11
Craster,Died Ep. 24,http://gameofthrones.wikia.com/wiki/Craster,,,,16
Hoster Tully,Died Ep. 23,http://gameofthrones.wikia.com/wiki/Hoster_Tully,,Tully.jpg,,18
Qhorin Halfhand,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Qhorin,,,crow,17
Doreah,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Doreah,,,,13
Pyat Pree,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Pyat_Pree,,,,22
Maester Luwin,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Luwin,,,,29
Xaro Xhoan Daxos,Died Ep. 20,http://gameofthrones.wikia.com/wiki/Xaro_Xhoan_Daxos,,,,19
Rodrik Cassel,Died Ep. 16,http://gameofthrones.wikia.com/wiki/Rodrik_Cassel,,,,23
Irri,Died Ep. 16,http://gameofthrones.wikia.com/wiki/Irri,,,,24
Amory Lorch,Died Ep. 16,http://gameofthrones.wikia.com/wiki/Amory_Lorch,,,,20
Renly Baratheon,Died Ep. 15,http://gameofthrones.wikia.com/wiki/Renly_Baratheon,,Baratheon.jpg,,3
The Tickler,Died Ep. 15,http://gameofthrones.wikia.com/wiki/The_Tickler,,,,25
Yoren,Died Ep. 13,http://gameofthrones.wikia.com/wiki/Yoren,,,crow,15
Lommy,Died Ep. 13,http://gameofthrones.wikia.com/wiki/Lommy,,,crow,12
Rakharo,Died Ep. 12,http://gameofthrones.wikia.com/wiki/Rakharo,,,,27
Septa Mordane,Died Ep. 10,http://gameofthrones.wikia.com/wiki/Mordane,,,,35
Mirri Maz Duur,Died Ep. 10,http://gameofthrones.wikia.com/wiki/Mirri_Maz_Duur,,,,14
Khal Drogo,Died Ep. 10,http://gameofthrones.wikia.com/wiki/Drogo,,,,4
Ned Stark,Died Ep. 9,http://gameofthrones.wikia.com/wiki/Eddard_Stark,,Stark.jpg,,2
Syrio Forel,Died Ep. 8,http://gameofthrones.wikia.com/wiki/Syrio_Forel,,,,67
Robert Baratheon,Died Ep. 7,http://gameofthrones.wikia.com/wiki/Robert_Baratheon,,Baratheon.jpg,,5
Viserys Targaryen,Died Ep. 6,http://gameofthrones.wikia.com/wiki/Viserys_Targaryen,,Targaryen.jpg,,8
Jory Cassel,Died Ep. 5,http://gameofthrones.wikia.com/wiki/Jory_Cassel,,,,26
Lady,Died Ep. 2,http://gameofthrones.wikia.com/wiki/The_Kingsroad,,Stark.jpg,,34
Mycah,Died Ep. 2,http://gameofthrones.wikia.com/wiki/Mycah,,,,30
Jon Arryn,Died Ep. 1,http://gameofthrones.wikia.com/wiki/Jon_Arryn,,Arryn.jpg,,10
